make,model,model_variant,color,carType,city,drive,manufacture_month,manufacture_year,mileage,mileage_unit,type,price_on_request,zip,country,currency,fuel_consumption_unit,condition
Audi,TT,AUDI TT Roadster 1.8 T,Silver,Cabriolet,Zuzwil,Vorderradantrieb,3,2005,49900.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8 4.2 quattro,Silver,Limousine,Zuzwil,Allrad,10,1999,101800.0,Km,car,"",null,null,null,null,null
Renault,Alpine A110,RENAULT Alpine A110 1300,Silver,Coupé,Zuzwil,null,0,1973,75700.0,Km,car,"",null,null,null,null,null
Maserati,QUATTROPORTE,MASERATI Quattroporte 4.2,Silver,Limousine,Zuzwil,Hinterradantrieb,10,2005,33500.0,Km,car,"",null,null,null,null,null
Mercedes,SL 500,MERCEDES-BENZ SL 500,Silver,Cabriolet,Zuzwil,Hinterradantrieb,1,1995,96600.0,Km,car,"",null,null,null,null,null
Bentley,ARNAGE,BENTLEY Arnage Red Label,Blue,Limousine,Zuzwil,Hinterradantrieb,5,2000,19300.0,Km,car,"",null,null,null,null,null
Bentley,CONTINENTAL,BENTLEY Continental GT Speed 6.0,Silver,Coupé,St. Gallen,Allrad,9,2015,5000.0,Km,car,"",null,null,null,null,null
Jaguar,"",JAGUAR D-Type XKD525,Purple,Coupé,Zuzwil,Hinterradantrieb,7,1956,5300.0,Km,car,"",null,null,null,null,null
Chevrolet,CORVETTE,CHEVROLET CORVETTE C2,Purple,Coupé,Zuzwil,Hinterradantrieb,6,1967,21300.0,Km,car,"",null,null,null,null,null
Renault,R5,RENAULT R5 1400 Alpine Turbo,Purple,Kleinwagen,Zuzwil,Vorderradantrieb,3,1982,77900.0,Km,car,"",null,null,null,null,null
Mercedes,E 50 AMG,MERCEDES-BENZ E 50 AMG Avantgarde,Purple,Limousine,Zuzwil,Hinterradantrieb,3,1997,67400.0,Km,car,"",null,null,null,null,null
Lamborghini,DIABLO,LAMBORGHINI Diablo 5.7 SV,Purple,Coupé,Porrentruy,Hinterradantrieb,1,1999,44500.0,Km,car,"",null,null,null,null,null
Mercedes,S 500,MERCEDES-BENZ S 500,Purple,Limousine,Zuzwil,Hinterradantrieb,10,1999,32000.0,Km,car,"",null,null,null,null,null
Maserati,COUPÉ GT,MASERATI Coupé GT,White,Coupé,Zuzwil,Hinterradantrieb,7,2002,95300.0,Km,car,"",null,null,null,null,null
Aston Martin,V8 Vantage,ASTON MARTIN V8 Vantage 4.7,White,Cabriolet,Zuzwil,Hinterradantrieb,7,2010,9000.0,Km,car,"",null,null,null,null,null
Mercedes,ML 400,MERCEDES-BENZ ML 400 CDI,White,SUV / Geländewagen,Zuzwil,Allrad,2,2002,148300.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 4.0 TFSI V8 qu,Blue,Kombi,Zuzwil,Allrad,4,2014,100.0,Km,car,"",null,null,null,null,null
Triumph,Dolomite,TRIUMPH Dolomite Sprint,White,Limousine,Zuzwil,Hinterradantrieb,6,1977,10800.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne S,White,SUV / Geländewagen,Zuzwil,Allrad,3,2003,115000.0,Km,car,"",null,null,null,null,null
Maserati,SPYDER GT,MASERATI Spyder GT,White,Cabriolet,Zuzwil,Hinterradantrieb,5,2003,78300.0,Km,car,"",null,null,null,null,null
Audi,A4,AUDI A4 3.0 V6,White,Limousine,Zuzwil,Vorderradantrieb,2,2004,95300.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8 4.2 quattro,White,Limousine,Zuzwil,Allrad,9,2003,101300.0,Km,car,"",null,null,null,null,null
Renault,ALPINE,RENAULT ALPINE A310 2700 VA,White,Coupé,Zuzwil,Hinterradantrieb,11,1979,11200.0,Km,car,"",null,null,null,null,null
Ferrari,575M,FERRARI 575M,White,Coupé,Zuzwil,Hinterradantrieb,5,2007,26000.0,Km,car,"",null,null,null,null,null
Mercedes,SL 600,MERCEDES-BENZ SL 600,White,Cabriolet,Zuzwil,Hinterradantrieb,1,2003,43000.0,Km,car,"",null,null,null,null,null
Mercedes,CLK 55 AMG,MERCEDES-BENZ CLK 55 AMG Avantgarde,White,Coupé,Zuzwil,Hinterradantrieb,11,2001,47500.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne Turbo,White,SUV / Geländewagen,Zuzwil,Allrad,1,2007,10.0,Km,car,"",null,null,null,null,null
Maserati,COUPÉ GT,MASERATI Coupé GT,Blue,Coupé,Zuzwil,Hinterradantrieb,8,2003,61400.0,Km,car,"",null,null,null,null,null
BMW,330,BMW 330i,White,Limousine,Zuzwil,Hinterradantrieb,9,2000,49700.0,Km,car,"",null,null,null,null,null
Mercedes,CL 600,MERCEDES-BENZ CL 600,White,Coupé,Zuzwil,Hinterradantrieb,11,2000,94000.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8 4.2 quattro,White,Limousine,Zuzwil,Allrad,3,1997,94700.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo S Cabrio,White,Cabriolet,Zuzwil,Allrad,7,2011,14000.0,Km,car,"",null,null,null,null,null
McLaren,12C,McLAREN MP4-12C Coupé 3.8 V8,White,Coupé,Zuzwil,Hinterradantrieb,3,2012,23000.0,Km,car,"",null,null,null,null,null
Ferrari,458,FERRARI 458 Spider Italia 4.5 V8,White,Cabriolet,Zuzwil,Hinterradantrieb,1,2012,11700.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,White,Kombi,Zuzwil,Allrad,7,2008,120000.0,Km,car,"",null,null,null,null,null
Ferrari,599,FERRARI 599 GTB,White,Coupé,Zuzwil,Hinterradantrieb,4,2007,22000.0,Km,car,"",null,null,null,null,null
Mercedes,S 63 AMG,MERCEDES-BENZ S 63 AMG L,White,Limousine,Zuzwil,Hinterradantrieb,4,2008,46000.0,Km,car,"",null,null,null,null,null
Chevrolet,CORVETTE,CHEVROLET CORVETTE C1,White,Cabriolet,Zuzwil,Hinterradantrieb,1,1961,67000.0,Km,car,"",null,null,null,null,null
Ruf,"",RUF RT 12,Other,Coupé,Zuzwil,null,6,2007,36000.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,Blue,Kombi,Zuzwil,Allrad,10,2002,81000.0,Km,car,"",null,null,null,null,null
Mercedes,S 500,MERCEDES-BENZ S 500 4Matic,White,Limousine,Zuzwil,Allrad,11,2006,62300.0,Km,car,"",null,null,null,null,null
Bentley,ARNAGE,BENTLEY Arnage Green Label,White,Limousine,Zuzwil,Hinterradantrieb,7,2000,34900.0,Km,car,"",null,null,null,null,null
BMW,740,BMW 740i,White,Limousine,Zuzwil,Hinterradantrieb,4,1998,85400.0,Km,car,"",null,null,null,null,null
De Tomaso,PANTERA,DE TOMASO PANTERA,White,Limousine,Zuzwil,Hinterradantrieb,9,1974,68100.0,Km,car,"",null,null,null,null,null
